Title,Tags,Source
Only Person Who Ever Truly Saw World For What It Is Starts Antidepressant Medication,LOCAL,https://www.theonion.com/only-person-who-ever-truly-saw-world-for-what-it-is-sta-1839984923
Robust UTI Culture The Closest Woman Going To Get To Bringing Life Into World,LOCAL,https://www.theonion.com/robust-uti-culture-the-closest-woman-going-to-get-to-br-1839961864
Trump Declares He’s Healthier Than Ever While Addressing Rally Crowd From Iron Lung,POLITICS,https://www.theonion.com/trump-declares-he-s-healthier-than-ever-while-addressin-1839926263
Flu Outbreak Reduces Class Sizes To Level Appropriate For Learning,LOCAL,https://www.theonion.com/flu-outbreak-reduces-class-sizes-to-level-appropriate-f-1839892824
Timeline Of Studies On The Effects Of Eating Meat,INFOGRAPHIC,https://www.theonion.com/timeline-of-studies-on-the-effects-of-eating-meat-1839609129
Pros And Cons Of Getting A Flu Shot,INFOGRAPHIC,https://www.theonion.com/pros-and-cons-of-getting-a-flu-shot-1839341748
Timeline Of Healthcare In America,INFOGRAPHIC,https://www.theonion.com/timeline-of-healthcare-in-america-1838910233
Early Signs Of Heart Attack Mistaken For Runner’s High,LOCAL,https://www.theonion.com/early-signs-of-heart-attack-mistaken-for-runner-s-high-1838844627
Worst Disease Outbreaks In U.S. History,ONION INFO CLIPS,https://www.theonion.com/worst-disease-outbreaks-in-u-s-history-1838748845
Excited CDC Employees Begin Decorating For Flu Season,NEWS IN BRIEF,https://www.theonion.com/excited-cdc-employees-begin-decorating-for-flu-season-1838742218
Pros And Cons Of E-Cigarettes,INFOGRAPHIC,https://www.theonion.com/pros-and-cons-of-e-cigarettes-1838700756
New Fitness Tracker Monitors Amount Of Exercise Users Watch On TV,NEWS IN BRIEF,https://www.theonion.com/new-fitness-tracker-monitors-amount-of-exercise-users-w-1838458922
CDC Investigating As Third Teen Ends Up Dead After Wandering Into Mysterious Cloud Of Vape Mist,NEWS IN BRIEF,https://www.theonion.com/cdc-investigating-as-third-teen-ends-up-dead-after-wand-1837926201
Field Of Demography Collapses After 92-Year-Old Woman Buys Monster Energy Drink And Sweet Fusion Vape Juice,LOCAL,https://www.theonion.com/field-of-demography-collapses-after-92-year-old-woman-b-1837444236
5 Things To Know About The Keto Diet,BREAKING NEWS,https://www.theonion.com/5-things-to-know-about-the-keto-diet-1837190043
Study Finds Reading This Article To Completion Provides Body With 13 Essential Vitamins And Minerals,NEWS IN BRIEF,https://www.theonion.com/study-finds-reading-this-article-to-completion-provides-1836884449
How Different Colors Affect Your Brain And Body,INFOGRAPHIC,https://www.theonion.com/how-different-colors-affect-your-brain-and-body-1836524920
Woman Not So Lactose Intolerant When Boyfriend Out Of Town,LOCAL,https://www.theonion.com/woman-not-so-lactose-intolerant-when-boyfriend-out-of-t-1836408008
Study Finds Majority Of American Health Insurance Plans Don’t Cover Sending Sickly Child To Convalesce In Countryside,NEWS IN BRIEF,https://www.theonion.com/study-finds-majority-of-american-health-insurance-plans-1836308697
Gynecologist Inserting IUD Promises Woman It Will Be Just A Quick Pinch And Then She’ll Be On The Floor Unconscious,LOCAL,https://www.theonion.com/gynecologist-inserting-iud-promises-woman-it-will-be-ju-1836244457
Gamers Rejoice! This Potion Restores 20 HP,OGN,https://www.theonion.com/gamers-rejoice-this-potion-restores-20-hp-1835223086
"New Report Finds Energy Drink Consumption Can Lead To Heart Bursting Out Of Chest, Riding Away On Tiny Skateboard",NEWS IN BRIEF,https://www.theonion.com/new-report-finds-energy-drink-consumption-can-lead-to-h-1835192180
5 Things To Know About The 2019 Measles Outbreak,BREAKING NEWS,https://www.theonion.com/5-things-to-know-about-the-2019-measles-outbreak-1835008907
Pros And Cons Of Weighted Blankets,INFOGRAPHIC,https://www.theonion.com/pros-and-cons-of-weighted-blankets-1834787076
How Restaurants’ Health Inspection Grades Are Calculated,INFOGRAPHIC,https://www.theonion.com/how-restaurant-s-health-inspection-grades-are-calculate-1834615636
CDC Warns Once-Eradicated Jitterbug Spreading Across Country At Rate Not Seen Since 1940s,NEWS IN BRIEF,https://www.theonion.com/cdc-warns-once-eradicated-jitterbug-spreading-across-co-1834301727
Light Beer Healthiest Food Option At Stadium,SPORTS,https://www.theonion.com/light-beer-healthiest-food-option-at-stadium-1834109771
"Complete Psychopath Meets Proper Screen Time, Sleep, Exercise Guidelines",LOCAL,https://www.theonion.com/complete-psychopath-meets-proper-screen-time-sleep-ex-1833925015
Doctor Informs Woman He’s Overweight,LOCAL,https://www.theonion.com/doctor-informs-woman-he-s-overweight-1833841557
Pros And Cons Of Making Birth Control Available Over The Counter,INFOGRAPHIC,https://www.theonion.com/pros-and-cons-of-making-birth-control-available-over-th-1833777372
Tips For Quitting Juul,ONION INFO CLIPS,https://www.theonion.com/tips-for-quitting-juul-1833463025
Responsible Gym Member Makes Sure To Wipe Down Personal Trainer After Workout,LOCAL,https://www.theonion.com/responsible-gym-member-makes-sure-to-wipe-down-personal-1833293757
Anti-Vaxxer Movement By The Numbers,BY THE NUMBERS,https://www.theonion.com/anti-vaxxer-movement-by-the-numbers-1833292662
Scientists Genetically Engineer Lab Rat Predisposed To Think Anything Wrong With It Might Be Cancer,NEWS IN BRIEF,https://www.theonion.com/scientists-genetically-engineer-lab-rat-predisposed-to-1833131856
Scientists Pinpoint Part Of Brain All Your Hair Grows Out Of,NEWS IN BRIEF,https://www.theonion.com/scientists-pinpoint-part-of-brain-all-your-hair-grows-o-1833126363
How Hospitals Inflate Costs,ONION INFO CLIPS,https://www.theonion.com/how-hospitals-inflate-costs-1832438042
Study Finds Sedentary Lifestyle Puts Millions Of Americans At Risk Of Becoming Beautiful Just The Way They Are,NEWS IN BRIEF,https://www.theonion.com/study-finds-sedentary-lifestyle-puts-millions-of-americ-1832392216
Myth Vs. Fact: Preventing And Treating Colds,INFOGRAPHIC,https://www.theonion.com/myth-vs-fact-preventing-and-treating-colds-1832263417
Doctors Assure Recovering Patient He Has Many More Years Of Looking At Phone Ahead Of Him,LOCAL,https://www.theonion.com/doctors-assure-recovering-patient-he-has-many-more-year-1831993642
Study: 30% Of People Who Quit Smoking Relapse After Shakily Raising Cigarette Up To Lips When Agreeing To Turn State’s Evidence,NEWS IN BRIEF,https://www.theonion.com/study-30-of-people-who-quit-smoking-relapse-after-sha-1831992601
Study: Most Concussions Can Be Prevented By Wearing Second Helmet,SPORTS,https://www.theonion.com/study-most-concussions-can-be-prevented-by-wearing-sec-1831266194
Podiatrists Recommend Getting Feet Rotated Every 6 Months,NEWS IN PHOTOS,https://www.theonion.com/podiatrists-recommend-getting-feet-rotated-every-6-mont-1831257117
Voyeur Researchers Recommend At Least 7 Hours Of Watching Someone Sleep Per Night,NEWS IN BRIEF,https://www.theonion.com/voyeur-researchers-recommend-at-least-7-hours-of-watchi-1831233073
Frat Nutritionists Dare Americans To Swallow More Live Goldfish,NEWS IN BRIEF,https://www.theonion.com/frat-nutritionists-dare-americans-to-swallow-more-live-1831044464
Woman Trying To Wean Self Off Coffee By Switching To Long Island Iced Tea,LOCAL,https://www.theonion.com/woman-trying-to-wean-self-off-coffee-by-switching-to-lo-1830991604
Report: Those Sensors That Flush Public Toilets Were Also Cameras This Whole Time,NEWS IN BRIEF,https://www.theonion.com/report-those-sensors-that-flush-public-toilets-were-al-1830988233
Nation’s Gynecologists Assure Women That Whatever Gets Stuck In There They Can Get Out,NEWS IN BRIEF,https://www.theonion.com/nation-s-gynecologists-assure-women-that-whatever-gets-1830722627
Pfizer Unveils New Double-Sided EpiPen For Lovers,NEWS IN BRIEF,https://www.theonion.com/pfizer-unveils-new-double-sided-epipen-for-lovers-1830439376
Surgeon General Confirms A Bit Of Blow Here And There Won’t Kill Ya,NEWS IN BRIEF,https://www.theonion.com/surgeon-general-confirms-a-bit-of-blow-here-and-there-w-1830412735
"Study Finds Mediterranean Diet Adds Years To Your Life, But Only By Taking Them Away From Others",NEWS IN BRIEF,https://www.theonion.com/study-finds-mediterranean-diet-adds-years-to-your-life-1830340503
Report: Rash Not Going Away On Its Own,LOCAL,https://www.theonion.com/report-rash-not-going-away-on-its-own-1830098808
New Study Shows Majority Of Late Afternoon Sleepiness At Work Caused By Undetected Carbon Monoxide Leak,NEWS IN BRIEF,https://www.theonion.com/new-study-shows-majority-of-late-afternoon-sleepiness-a-1830077614
CDC Introduces ‘Raw Dog’ The STI Pup To Educate Children About The Dangers Of Unprotected Sex,NEWS,https://www.theonion.com/cdc-introduces-raw-dog-the-sti-pup-to-educate-childre-1830029685
Report: Logan’s Mom Put Him On A Diet,LOCAL,https://www.theonion.com/report-logan-s-mom-put-him-on-a-diet-1830026964
Study Finds Effectiveness Of Medical Treatment Skyrockets When Doctor Acts Like Condescending Dick,NEWS IN BRIEF,https://www.theonion.com/study-finds-effectiveness-of-medical-treatment-skyrocke-1829999052
Embarrassed CDC Announces It Accidentally Switched Flu Shots With HIV,NEWS IN BRIEF,https://www.theonion.com/embarrassed-cdc-announces-it-accidentally-switched-flu-1829843799
Tips For Relieving Back Pain,ONION INFO CLIPS,https://www.theonion.com/tips-for-relieving-back-pain-1829695271
U.S. Public Health Service Estimates They’ll Have Tuskegee Experiment Wrapped Up By 2020,NEWS IN BRIEF,https://www.theonion.com/u-s-public-health-service-estimates-they-ll-have-tuske-1829659665
Excited Patient Points Out Organ He Wants From Kidney Tank In Hospital Lobby,NEWS IN BRIEF,https://www.theonion.com/excited-patient-points-out-organ-he-wants-from-kidney-t-1829621836
"Cure For Cancer Only 10 Years Away, Announce Scientists Who Work Better Under A Deadline",NEWS IN BRIEF,https://www.theonion.com/cure-for-cancer-only-10-years-away-announce-scientists-1829469200
Scientists Close To Developing Life-Saving Vaccine That They Can Rub In Faces Of Their Doubters,NEWS IN BRIEF,https://www.theonion.com/scientist-close-to-developing-life-saving-vaccine-that-1829139666
Dermatologist Recommends Not Caring So Much What Other People Think,LOCAL,https://www.theonion.com/dermatologist-recommends-not-caring-so-much-what-other-1828995941
Alexander Ovechkin Thrilled To Learn He Won Stanley Cup Last Year,SPORTS,https://www.theonion.com/alexander-ovechkin-thrilled-to-learn-he-won-stanley-cup-1828797867
Tips For Making The Most Of Your Next Doctor’s Visit,ONION INFO CLIPS,https://www.theonion.com/tips-for-making-the-most-of-your-next-doctor-s-visit-1828668439
American Psychiatric Association Adds ‘Obsessive Categorization Of Mental Conditions’ To ‘DSM-5’,NEWS IN BRIEF,https://www.theonion.com/american-psychiatric-association-adds-obsessive-catego-1828560637
New Liver Can Really Handle Its Scotch,LOCAL,https://www.theonion.com/new-liver-can-really-handle-its-scotch-1828554584
U.S. Healthcare Administrative Costs By The Numbers,ONION INFO CLIPS,https://www.theonion.com/u-s-healthcare-administrative-costs-by-the-numbers-1828551094
Courageous Heterosexual Has Never Donated Blood To Red Cross In Solidarity With Gay Men,LOCAL,https://www.theonion.com/courageous-heterosexual-has-never-donated-blood-to-red-1828255452
Timeline Of Studies On The Effects Of Coffee,INFOGRAPHIC,https://www.theonion.com/timeline-of-studies-on-the-effects-of-coffee-1828027396
Beloved Father And Infrequent Pornography User Loses 3-Year Battle With Cancer,LOCAL,https://www.theonion.com/beloved-father-and-infrequent-pornography-user-loses-3-1827972809
WHO Warns Against Eating Fish And Keeping Active Following Death Of World’s Oldest Woman,NEWS IN BRIEF,https://www.theonion.com/who-warns-against-eating-fish-and-keeping-active-follow-1827929991
Dr. Scholl’s Introduces New Freeze-Away Toe Remover,NEWS IN BRIEF,https://www.theonion.com/dr-scholl-s-introduces-new-freeze-away-toe-remover-1827896718
Myth Vs. Fact: Sunscreen,ONION INFO CLIPS,https://www.theonion.com/myth-vs-fact-sunscreen-1827838899
Trump Bestows Medal Of Honor On John McCain’s Tumor,POLITICS,https://www.theonion.com/trump-bestows-medal-of-honor-to-john-mccain-s-tumor-1827800976
New Aphasia Study Finds Empty Fullness Brokered Yellow Ideas Happily,NEWS IN BRIEF,https://www.theonion.com/new-aphasia-study-finds-empty-fullness-brokered-yellow-1827687870
"Bodybuilder Strong, But Now What?",LOCAL,https://www.theonion.com/bodybuilder-strong-but-now-what-1827631160
New Report Finds Fastest-Rising Cause Of Death In U.S. Is Losing Chess Match To Grim Reaper,NEWS IN BRIEF,https://www.theonion.com/new-report-finds-fastest-rising-cause-of-death-in-u-s-1827236896
How To Get Your Picky Toddler To Finish All Of Their Foie Gras,WHOLE BODY,https://www.theonion.com/how-to-get-your-picky-toddler-to-finish-all-of-their-fo-1827171841
Why Foie Gras Should Be A Staple Of Your Child’s Daily Diet,WHOLE BODY,https://www.theonion.com/why-foie-gras-should-be-a-staple-of-your-child-s-daily-1827107667
How To Purge All That Negative Energy Into Your Personal Assistant,WHOLE BODY,https://www.theonion.com/how-to-purge-all-that-negative-energy-into-your-persona-1826862995
How To Manage Depression With TV And Alcohol,WHOLE BODY,https://www.theonion.com/how-to-manage-depression-with-tv-and-alcohol-1826797374
Ways To Treat Seasonal Affective Disorder So You're Not So Goddamn Cheery In Summertime,WHOLE BODY,https://www.theonion.com/ways-to-treat-seasonal-affective-disorder-so-youre-not-1826732632
Here’s A Fun Cardio Workout You Can Do While Searching The Neighborhood For Your Missing Grandparent,WHOLE BODY,https://www.theonion.com/here-s-a-fun-cardio-workout-you-can-do-while-searching-1826668683
"How To Protect Yourself From Alzheimer, The Demon Who Eats Memories",WHOLE BODY,https://www.theonion.com/how-to-protect-yourself-from-alzheimer-the-demon-who-e-1826606463
"25,000 Neti Pots Recalled After Defect Causes Water To Shoot Out Of Eyes, Ears",NEWS IN BRIEF,https://www.theonion.com/25-000-neti-pots-recalled-after-defect-causes-water-to-1826486714
Dentist Can Tell Patient Hasn’t Been Brushing Hair,LOCAL,https://www.theonion.com/dentist-can-tell-patient-hasn-t-been-brushing-hair-1826484994
How An Epidemic Spreads,ONION EXPLAINS,https://www.theonion.com/how-an-epidemic-spreads-1826484133
Simple Exercises Anyone Can Do While Doing The Splits,BREAKING NEWS,https://www.theonion.com/simple-exercises-anyone-can-do-while-doing-the-splits-1826453976
"Is Stress Real, Or Are You Crazy And It's All In Your Head?",WHOLE BODY,https://www.theonion.com/is-stress-real-or-are-you-crazy-and-its-all-in-your-he-1826387707
How To Lose Those Next 15 Pounds,WHOLE BODY,https://www.theonion.com/how-to-lose-those-next-15-pounds-1826327715
Myth Vs. Fact: Paid Sick Leave,INFOGRAPHIC,https://www.theonion.com/myth-vs-fact-paid-sick-leave-1826222151
Oscar Meyer Introduces New Wiener Mobility Scooter,NEWS IN PHOTOS,https://www.theonion.com/oscar-meyer-introduces-new-wiener-mobility-scooter-1826103349
Melania’s Staff Asks For Privacy From President While She Recuperates,POLITICS,https://www.theonion.com/melania-s-staff-asks-for-privacy-from-president-while-s-1826057499
Study: Headaches Are The Body’s Way Of Communicating It Wants Pills,NEWS IN BRIEF,https://www.theonion.com/study-headaches-are-the-body-s-way-of-communicating-it-1825925378
Dr. Scholl’s Introduces New Cartilage Inserts For All-Day Knee Pain Relief,NEWS IN PHOTOS,https://www.theonion.com/dr-scholl-s-introduces-new-cartilage-inserts-for-all-d-1825884442
Flu Vaccine Recalled Due To Defective Government Tracking Microchips,NEWS IN BRIEF,https://www.theonion.com/flu-vaccine-recalled-due-to-defective-government-tracki-1825854033
