Title,Len,Content,Publishing Date
Annoying White American Thinking About Becoming Annoying White Canadian,2014,"In a move that comes as a surprise to no one, annoying white American Gemma Evans has announced plans to become an annoying white Canadian if “things keep going the way they’re going” in the United States.   “I know everyone says this, but if Trump is reelected, I’m seriously gonna move to Canada,” says Evans. “America has become a laughingstock, I’m honestly ashamed to be from this country.”   While Evans, a cis white woman with intergenerational wealth, is among those least impacted by American oppressive violence, she is meaningfully embarrassed to be associated with it.   “Do you know how racist this country is?” Evans asks. “It’s horrible. Send me to Canada where the people are nice! You never hear about racism in Canada.”   And with the belief that racism doesn’t exist in Canada in mind, Evans has fueled her desire to move from one site of European colonization and genocide of indigenous peoples to the same but with better healthcare.   “I would love to be Canadian,” Evans says. “I finally wouldn’t have to feel embarrassed to say where I’m from when I’m on vacation.”   However, not everyone in Evans’s life is convinced by the validity of her plan.     “When I saw Gemma made a Facebook status asking if she knew any immigration attorneys I just assumed it would have to do with the ongoing human rights crisis at the southern border,” said a Facebook friend, Mel Linden. “But it was actually just a jokey statement about how she’s moving to Canada because of anti-mask protests in the south. And she’s been working from home in the Hamptons since March!”   Another acquaintance put it more bluntly.   “Why the fuck does Gemma get to flee America?” says Annabel Park. “If she’s so concerned about the state of this country, maybe she should dedicate that energy to some political action here.”   But Evans is not dissuaded by her critics. “Healthcare here I come!” she says. “I mean, I actually have pretty good healthcare, but I’m excited to not be from a place where so many people don’t.”","Sep 15, 2020"
Friend Who’s Uncomfortable Talking Politics Totally Cool Discussing How She Got Railed Last Night,2490,"In a developing story out of Chicago, Sarah Anderson told her friend Liza that she’s not comfortable talking politics right now before she launched into an extremely detailed play-by-play of how she absolutely got railed last night by some guy named Brady.   “I know Biden has some plan about healthcare or whatever but that stuff just makes me feel, like, so uneasy,” explained Anderson. “Can we keep the convo to something more light like the weather or how Brady totally plowed me in the kitchen at four in the afternoon on Saturday?”   “And then again that night against my Ikea nightstand. Totally broke it. But that’s probably the bad craftsmanship, I should’ve paid for someone to put it together instead of doing it myself!” Anderson added.   She went on for another 15 minutes, sparing no detail of their intricate two hours of foreplay involving various toys, food, and her pasta colander.   “Brad and I got hella kinky, we were watching TV and then we just went at it on the couch,” said Anderson. “I did mute the TV though because there was some stuff about protests downtown against the police or something and that was bumming me out but I don’t wanna get into that.”   Anderson trailed off, her eyes falling to the floor before she quickly switched the topic back to how Brad and her even tried the “grapefruiting” trick Tiffany Haddish did in the 2017 blockbuster hit Girls Trip.   Anderson, who forgot to vote in the previous three elections and wears a “The future is female” button on her jean jacket, says that she just prefers keeping things “chill” and wishes everyone would stick to more agreeable topics like the latest episode of The Bachelor or the 15-paragraph sexts she currently has going with Brad.   “It’s 2020, of course I’m a feminist,” said Anderson. “I love Lizzo, I don’t wear makeup, I went to the Women’s March. I also got the shit railed out of me last night and boy was that amazing. I’d love to tell you more about it over drinks!”   “But, you know, politics just makes things awkward and intense,” she added. “What am I supposed to do about it? Read articles? No thanks. I’d rather read the extremely detailed texts Brad sends me during work about how he wants to plow me like a farmer on a hot Wisconsin day.”     Sarah is now planning to use her lunch break at work to tell Liza about the girth of Brad’s gorilla cock, but she did just tweet “Pizza over patriarchy!” while sipping from a mug with “Girl Boss” written on it in a pink cursive font.","Aug 24, 2020"
Wow! These Politicians Are Dunking On Republicans Instead of Proposing Substantive Reform   ,2499,"Political analysts have recently identified an intriguing new strategy among Democratic politicians: using their massive platforms to dunk on their Republican opponents, rather than propose any kind of substantive policy reform.   Talk about using your power for good…dunks!   Established Dems like Joe Biden, Nancy Pelosi, and Hillary Clinton have embraced such strategies as “clapping back,” subtweeting the President of the United States, claiming to not be surprised by horrifying decisions that will ruin people’s lives, ending vague, obvious statements with the word “period,” and writing “we’re better than this” without specifying how or why.   Mitch McConnell is absolutely shaking in his boots – we’re sure of it!   “One new tactic we’re really excited about is ironically criticizing the Republican establishment’s handling of the COVID-19 response,” explained a liberal campaign strategist who wished to remain anonymous. “No, we are not currently planning to elaborate how we would have handled it differently. Why do you ask?”   Experts believe that these increasingly frequent dunks are an attempt to capture the energy of popular and youth-friendly candidates like Alexandria Ocasio-Cortez and Bernie Sanders. However, college students we spoke to maintained that AOC’s statements resonated less because they were sick burns, and more because they contained clear and popular plans that had the potential to directly improve their lives.   “It seems like making fun of someone’s weight, even if it is Donald Trump’s, might not be the best way to retain the moral high ground,” said one 20-year-old, pre-med student, referring to House Speaker Nancy Pelosi’s recent CNN interview. “But I guess I have to vote for Joe Biden no matter what. Yay.”   Keep that momentum going, folks!   Research shows that the established Democrats’ current approach polls well with constituents who will vote a straight Democratic ticket no matter what, people who post seven political cartoons on Facebook a day, and…no one else. 2020, here we come!   But those worried about the upcoming elections should rest easy. The Democrats aren’t all talk; they have plenty of legislature up their tricky little sleeves. While many constituents are currently hoping for an overhaul of the police system, healthcare reforms, and aggressive climate change policies, the Democrats in the House are rumored to be unveiling a “Haha the CLOWN in the White House sure has weird hair lol” bill within the next few weeks.","Jun 22, 2020"
"Still No Vaccine, But You Are Allowed to Engage in Riskier Behavior",1867,"Proving once and for all that life is all about tradeoffs, there’s still no vaccine for the novel coronavirus, but you are allowed to engage in riskier behavior.   “I definitely wish there was a vaccine,” says New York resident Riley Stewart. “But at least now I can see friends and go out for drinks and stuff. It’s a lot better than being stuck inside my apartment.”   “Why did we even do that?” Stewart adds.   Why did cities across the nation partake in a difficult but collectively minded initiative to curb the spread of coronavirus only to then reopen at the cost of countless human lives? We can’t say for sure, but it’s certainly nice to see the sidewalks crowded with people eating brunch out of plastic takeout containers like New Orleans but with $20 eggs and somehow worse public safety hazards.   “I’m glad things are going back to normal,” says Stewart. “I missed hanging with my buddies, which I was still doing before, but now I don’t have to feel all weird about it.”   But not everyone shares Stewart’s enthusiasm for the new coronavirus non-solution.   “I guess I thought that the point of the lockdown was to stop spreading the disease while the government figured out concrete ways we could deal with it going forward,” says Chicago resident Bree Lennox. “But now it just seems like we’re giving up on that, and all the while we continue to find out more terrifying information about Covid from healthcare workers and people who have had it.”   “I feel pretty confused and scared,” adds Lennox.     Well confused and scared may be the name of the game, but at least now we’re all free to do things that will make the situation worse.   “A couple months ago it felt like we were all making sacrifices to protect each other, especially our most vulnerable populations,” says Lennox. “And I just don’t know why that stopped.”   The answer is money!","Jun 18, 2020"
White Privileges You Could Go Enjoy Instead of Making Yourself the Center of the Racial Justice Movement,2083,"Social justice is trending, and you wanna be a part of it! Since you’ve done little research or reading on how to help, you’ll probably go with your first instinct – dramatic, attention-grabbing behavior that doesn’t help and actually steals focus from the important work others are doing. But before you go Instagraming yourself standing in front of the shattered glass window of an Asian-owned nail salon with a crow bar in hand, ask yourself if you shouldn’t just leave yourself out of this and go enjoy one of the many white privileges you don’t seem to recognize:   Drive Down a Street without Worrying if You’ll be Pulled Over for No Reason Before you run down to what was a peaceful protest and start throwing things at the cops, ask yourself if you might rather take a nice relaxing drive to literally anywhere, where you won’t be harassed by the police or fear for your safety. Do you understand what this is about? Not entirely? Then go for a drive and think about it.   Make Purchases Without Being Questioned Before you try to start a “kill cops” chant in the middle of an info session on how to record police officers in your neighborhood, think about how easily you could go shop for snacks and wine right now. Wanna get out of here and go do that? Because you could do so without getting followed around the store or disbelieved that your credit card is yours. Do you see how this is not about you?     Go Enjoy Anything in Your Statistically Better Life If the only way you know how to show up is by photographing yourself lighting a flag on fire, if you can’t donate actual money or protest or volunteer at a voter registration drive or do anything useful, maybe you should just go enjoy your white life, which probably includes a greater degree of access to proper healthcare, generational wealth, representation in media and government, and the many other freedoms and autonomies you take for granted?   If you can’t help dismantle a racist system without making it about you, ask yourself if you wouldn’t rather enjoy a mask-less margarita on the beach right now.","Jun 4, 2020"
5 Simple Ways To Make The Devastating Global Pandemic About You Missing Your Birthday,2532,"The coronavirus pandemic sweeping the globe is nothing short of horrendous. People are dying in droves, being dipped into the throes of poverty, and being forced to grieve their loved ones in solitude. But nothing of the devastation the world is experiencing even comes close to the fact that your special day is coming up and you don’t even get to party for it! So here are some simple ways to make the global COVID-19 pandemic about missing your birthday.   Be as public as possible about it. When it comes to making sure people know that it’s not just time to celebrate healthcare workers, it’s also time to celebrate you, you need to make sure your voice is the loudest. Tell everyone you see. Grocery clerks, UPS guys, even strangers you pass from six feet away!   If you’re in a major metropolitan area, leave. Stuck in NYC or Chicago or LA? Get out of there! You already have enough to deal with when it comes to getting missed birthday attention, you don’t want a population of millions terrified of contracting a deadly virus to distract from that! Head to your parents house or something. Just make sure you’re quiet about it!   Don’t read the news. Make sure to avoid any and all news outlets. Sure, it’s probably good to have some semblance of what’s going on in the world coronavirus-wise, but then you’ll have to recognize all the people who are sick and dying instead of focusing on yourself and your special day. That’s not fair, birthday girl!   Post about it on all your socials. People have been posting lots of tributes and links to charities and direct action campaigns to provide support for those affected by COVID-19. Well, break up all that negativity! Post as much as you can about how it’s so sad that you won’t get to go to Benihana this year for your not-even-a-milestone birthday. The people need some hope!     Take pictures of the party you throw yourself. Okay so, just because your boyfriend went out of his way to buy you that cake you like and your sous chef roommate is making you your favorite dinner and your parents sent you a new iPhone and you’re having a legitimate albeit small party with the people who you live with doesn’t mean that you can’t post pictures of it with the tags #missedbday, #birthdayinquarantine, or even #thisfuckingsucks! Go all out with the pity party while people are suffering and dying, sis. That’s your right!   Try any of these simple techniques when you wanna make an international disease crisis more focused on you and the fact that you were born. Good luck!","May 20, 2020"
DUDE CORNER: I’m Standing In Solidarity With Nurses By Not Using Protection,2465,"What’s up, coronadudes and coronadudettes? It’s me again, the only writer on this site with balls (metaphorical balls haha!!! I’m smart). And boy, do I have a lot to say. It’s come to my attention that our nation’s healthcare workers are being neglected. During a global pandemic, medical workers are not being provided with the PPE (which sounds like a sex thing but really just stands for personal protective equipment) they they need to stay safe and healthy. And to me, that’s pretty wack. That’s why I’ve decided to take a stand: in solidarity with our brave nurses, I will not be using protection myself, either.   I mean, let’s get real, it’s not like I’m getting laid right now. I’ve been isolating at home with my two roommates Sean and Shawn and our iguana Delilah (#quaranteam). But if I was banging on a regular basis, which is what I do when things are normal, I would absolutely be going raw dog. Why should I, a regular ol’ guy, be able to protect myself from disease when our country’s heroes aren’t being given the tools to do so? I support our troops!     I guess I should get real about something else too: I wasn’t ever really wearing protection to begin with. Wearing a condom is like staying indoors for two months with a molting iguana and two roomies with the same name, one who doesn’t really shower that much: not that fun and a kinda smelly.   Why take the risk, you ask? Well first off, I’ve never met any girl who doesn’t have and IED or whatever they’re called. I haven’t asked specifically, but I feel okay in assuming. Secondly, I’m not afraid of getting a disease. I mean, at least not a sexually transmitted one. That would make for a funny story. I am super afraid of getting corona, which is why I’m so serious about sticking up for the medical staff who are working so hard to fight it.   I heard chlamydia isn’t even that bad, though.   When it comes down to it, I’ve always been the type of guy to stand up for what is right. I found a LiveStrong bracelet at a dorm party one time and wore it for the rest of the semester. I believe in LGBTQ rights, even though I thought Brokeback Mountain was kind of gross. I even used a Black Lives Matter hashtag once to impress a girl. That’s why I absolutely refuse to compromise my morals by using any kind of protection for myself until courageous warriors at the front line of the COVID-19 epidemic are provided with some.   And probably not afterwards either, if we’re being honest.","Apr 22, 2020"
I Support Essential Workers by Aggressively Liking Videos of Them Dancing,1444,"We all know, it’s hard out there for essential workers right now. They’re putting in long hours to meet the needs of the rest of us, while potentially exposing themselves to the virus on a daily basis. That’s why I do my best to support them by doggedly hitting ‘like’ on any and all videos of these people dancing.   Yes, even the kind of mediocre ones.   Whether it’s nurses dancing to Megan Thee Stallion on TikTok, EMTs dabbing, or grocery store employees doing the Macarena, I will like, love, and sometimes even comment with hearts and rainbows to let them know that their efforts matter.   Some would argue it’s not healthcare workers who should be cheering us up right now, and to that I’ll say, “Well, I am liking the videos, so…”   I don’t really know what else I could do to support our heroes on the front lines.     So yes, I’m proud of myself for aggressively hitting ‘like’ whenever I see essential workers dancing or making other viral content. Right now, I consider it my essential job.   Trust that I’m not liking the stories about how they’re putting themselves at risk or don’t have proper PPE, and are dying at higher rates than the rest of us.   I’m glad I can do what little I can, by staying home and watching TV, and occasionally liking these dancing videos on social media.   Even if the dancing is not that great and the dancers aren’t syncing up with each other, I’ll still like it. That’s how far I’m willing to go.","Apr 20, 2020"
"Every Night, This Town Thanks a Doctor by Fucking Her Brains Out",2148,"Every day, healthcare workers risk their lives on the frontlines of this pandemic in order to save others. It may never be possible to give them adequate thanks, but one Washington State town is trying its very hardest. Every night at 7p.m., this town comes together and thanks a doctor by fucking her brains out.   “It’s just a little thing we can all do to show support,” says townsperson Bri Raddler. “And it strengthens our sense of community.”   “It’s so easy to feel isolated when you’re stuck home all day,” Raddler adds. “But when I head outside at seven and see my neighbors taking a local doctor to Poundtown, it’s like, right, we’re all in this together.”   And the local residents aren’t the only ones whose morale has been boosted by this show of solidarity and support.   “It’s been one of the only things keeping me going,” says Emergency Room physician Dr. Ophelia Chen. “As a health care provider, this pandemic is the worst thing I can imagine working through, but knowing that if I’m off by seven, I get the chance to have passionate, carnal love made to me by every consenting adult in town is enough to make it through the day.”   “Of course, I’m typically extremely exhausted by the time I finish my shift, but the town has been great about letting me just lie there,” Dr. Chen adds. “I’m lucky to have such a supportive group of townspeople slamming my damn bones on the regular.”   Naturally, the town’s somewhat unorthodox practice has raised concerns with its potential to further the spread of the virus.   “It is the recommendation of the state to not have sex with people you don’t live with,” says Mayor Sam Livitz. “And to have raging group sex with any number of strangers would be even more discouraged.”     “However, much in the way some local leaders are concerned by the cost to the economy of shelter-in-place orders, I am concerned by the idea of the town not plowing the living heck out of a medical hero each night, and I know I have my constituents support on that position,” the Mayor adds.   “At this time, we are asking all residents to do their part by making their own masks and condoms.”   Stay safe!","Apr 8, 2020"
It’s Crucial That We as a Nation Not Let This Pandemic Stop Us From Giving Me Attention   ,2366,"Let’s face it: We are facing an unprecedented time in our society’s history, and we have to just…live through it. It’s incredibly difficult, even for the most confident and stable among us. But we must stay strong, for ourselves and for those around us. And the best way to do that is to maintain some sense of normalcy. That’s why it is crucial that we, as a nation, don’t let this pandemic stop us from giving me attention specifically.   It’s easy to let a situation like this get you down. With no beautiful days out in the park, no happy hours with friends ­–­ not even a group study session ­– the disconnect from human contact is enough to drive anyone crazy. That’s why it’s so important to find alternate ways of connecting with the outside world. Especially if one of your loved ones is me because I still desperately need the same attention I was getting pre-coronavirus, and now more than ever, I really need us all to come together and provide that to me.   I will not survive if people are not perceiving and validating me on a near-constant basis. I don’t think I’m asking for too much.   Of course, there are plenty of people on the frontlines of this pandemic who also need our support more than ever. Healthcare specialists, grocery store clerks, and sanitation workers are just a small sampling of the essential employees who are forced to do their jobs despite the deadly virus spreading with abandon. Don’t get me wrong, we need to rally around them. It’s just that we should all make sure to save a little bit of energy to also rally around me as soon as you’re done doing that. Even just, like, a quick fave on my Instagram post or a retweet is fine, I just need to be acknowledged by everyone all of the time, pandemic time included. It can even be slightly less than before, obviously, I’m not selfish.   But not that much less. I still need all the attention I can get. I just posted a selfie if anyone wants to check it out.   I think that living through this madness will teach us all a little bit about community. The way we have universally stepped up to help our neighbors is a testament to how great we can be when we come together for a unifying cause. And hopefully, we can all remember that one of the most crucial causes that we should be unifying for is giving me, specifically, attention. It’s the least we, as a nation, can do!","Apr 6, 2020"
How to Cum Hard Enough to Envision the End of Capitalism,2286,"Sometimes, when you’re looking for the Big O, thinking about the various crises conferred on the world by too-big-to-fail financial institutions can really take the wind out of your sails. Fortunately, we’ve got some tips for you to cum so hard, you’re able to conceive of a future without capitalism. Here’s how:   Use Your Breath Concentrate on mixing up your breathing. Alternate between long and short breaths. Need a trick to induce shortness of breath? Imagine the student loan debt you’re suffocating under every single day.   Introduce a Vibrator Speaking of, doesn’t a mechanical penis prove that any job can be automated? I mean, like, what’s to say we all couldn’t lose our jobs tomorrow? Where are the social safety nets that should undergird a society that leaves things in such a precarious state?   Act Out a Fantasy Let your imagination run wild! Pretend you’re Kristalina Georgieva, the Managing Director of the IMF, and your partner is Jerome Powell, the Chair of the Federal Reserve. Together, the two of you channel your influence to abolish currency – all while pounding the everloving fuck out of each other.     Talk Theory to Me Stock up on those Verso books! Sometimes, softly whispering Judith Butler into your partner’s ear is exactly what the doctor ordered. But don’t stop there: Describe the left’s new vision of public transport as a means to rebuild the social fabric. Steamy!   Switch Positions We all have our favorite ways of getting down, but why not try switching things up? Are you a Trotskyist? Try seeing things from the Maoist perspective. Are you a Leninist? Let down your guard, and embrace some free-wheeling experimentation with Anarchism.   Think About Sweden Yes, it seems like a no-brainer, but thinking about the Nordic model can really hurry things along. While he’s thinking about baseball, you can fantasize about universal healthcare and free tertiary education.   Following just a few of these tips can be the difference between a run-of-the-mill orgasm and an earthquake of pleasure that enables you to imagine a future where Jeff Bezos doesn’t make more in one week than your entire lineage makes over the course of all of recorded history. But if none of these tips work, you can always do kegels while calling your reps! Try it!","Mar 31, 2020"
I Went As A Nurse For Halloween in Third Grade – Here’s What You Need To Know About Coronavirus,2306,"In these frightening times, it’s so important to not fall prey or even participate in the spread of misinformation. However, now’s not the time to stick your head in the sand. The only way to combat misinformation is to be equipped with good information, and that’s what I’m here to provide. As someone who went as a nurse for Halloween in third grade, here’s what you need to know about coronavirus.   You can get it from surfaces – or can you? As an individual who not only dressed up as a nurse at age 8, but also sort of wanted to be one for a while in middle school, I can say with confidence that my friend told me Coronavirus can live on surfaces. The good news is, my friend (who’s actually more of a Facebook friend who I can’t remember how I know but maybe summer camp? Did I go to camp? I don’t know) said that the virus only stays on surfaces for the length of an HBO dramedy, but you can reduce this time by breathing on the surface and then rubbing it down like a pair of glasses. Make sure you wear gloves! Fingerless, if you want to look cool while fighting disease. Pretty sure I’m getting this right.   You can test for if you have it at home. Everyone freaking out about inaccessibility to testing kits is a manufactured panic the government has created to control the population or something like that. It has to do with the election, but look, I went as a nurse for Halloween, not a political scientist. Either way, there’s no cause for concern, because you can test whether or not you have the virus in the comfort of your own home. Just close your eyes, and say the alphabet backward. If you have the brainpower to accomplish this, then you are not infected. This works for people of all ages.     Remember to appreciate healthcare professionals. Among those most at risk are the healthcare professionals gambling everything to help keep everyone else healthy. Take a moment to appreciate them. For instance, I am sacrificing time I could be doing the cinnamon challenge (one known Coronavirus cure) because I care more about getting life-saving information to everyone else. I guess that’s just me.   So stay safe, stay inside a thick sleeping bag (COVID can only travel through 2 inches of fabric), and wash your hands with water icy cold enough to freeze bacteria. You’re welcome.","Mar 18, 2020"
"Now That I’m the Happiest and Most Stable I’ve Ever Been, It’s Time to See a Therapist",1534,"Well, the day has finally arrived! My life has finally reached a point of stability where I have the resources to see a therapist.   In the past, there were many hurdles to me finding a therapist – cost, long work hours, inadequate health insurance, and the mental health issues that made navigating the mental healthcare system nearly impossible. But now that I’ve resolved my anxiety, depression, and other mysterious undiagnosed issues on my own and overcome the systemic barriers that kept my life in a state of uncertainty, I can finally set aside the time, money, and mental resources to procure a therapist.   I knew this day would finally come!     Now, I look forward to sitting with a therapist and rehashing some of the insecurities, childhood traumas, and general chemical imbalances that wreaked havoc on my teen years, my twenties, and much of my 30s as I struggled to maintain healthy relationships and my career, but in a way less angsty, raw, and unprocessed way. Good or bad, I’ve already constructed my own narrative about it all, and I can’t wait to tell my therapist all about it.   And now that I’ve found ways to cope and process entirely on my own to the point where I’ve found happiness and stability, it really should be pretty easy to go to therapy.   I’m so glad I got here!   And I just want anyone reading to know that there is hope – someday you will if you’re lucky enough, you just might find yourself in the position of being a grounded, positive person, who is now able to pursue therapy. Good luck!","Mar 10, 2020"
The Best Online Therapy Apps Your Family Will Tell You Are for White Folks,2869,"With new online counseling and therapy apps being released every day, taking charge of your own mental health has never been easier – for your black parents to dismiss as a thing for white people. Your black mom and dad agree that being able to reflect on past trauma from the comfort of home is very nice, but only for your white friend, Heather. With thousands of trained professionals at your fingertips, it’s easy to get overwhelmed, especially when your parents chuckle about the frivolity of mental healthcare. So, here are five well-reviewed therapy apps your parents will tell you are for white folks:   Better Help This therapy app eliminates the negative stigma associated with physically entering a therapist’s office but it will not eliminate your black parent’s belief that paying a stranger to know your secrets is a white pastime. Better Help completely protects user anonymity thru nicknames, which is a crucial feature for somebody else’s child.   Breakthrough The therapists on the Breakthrough app are backed by hundreds of positive reviews, hours of academic training, and years of professional experience your black family will ignore because “No one in the entire history of this family has ever needed a shrink before. Not even the slaves,” says Black Dad.     7 Cups of Tea The 7 Cups of Tea app allows you to speak openly with peer volunteers about your problems completely free of charge, which isn’t even professional therapy, but is still somehow embarrassing for the entire black community. “You don’t need to download some app to talk to your friends about what really matters: The Bears, which boots are good for yard work, and the hit series, “Power” only on Starz,” confides Black Dad.   Regain Regain is for couples trying to build stronger happier relationships and for “filthy pervert freaks trying to hear your bedroom business!” claim Black Parents in unison, the closest they’ve been in years. “If you want to talk to someone about your problems, speak to the one true counselor, our Father who art in Heaven,” suggests Black Mom.   Talkspace With Talkspace, there’s no more waiting weeks between appointments! Your therapist is available to chat 5 days a week about all of the emotions you have to pretend don’t exist. “You see sweetie, sadness is something our people hold tightly inside and carry quietly everywhere we go allowing it to slowly whittle away at our spirit and joy,” explains Black Mom. And it’s also apparently something white people can text about at no additional cost.   If you’re white and interested in improving your mental health on the go or even from the comfort of your own bed, give any of these apps a try! If you’re black, or a second-generation immigrant, or any minority really, these are the very best online therapy apps for your finger to hover over a few times a week for the next three years!","Dec 8, 2019"
"I Support Medicare For All Except Brendan, May He Perish In Haste",3018,"It’s so important to be aware of the issues that are being fought for in the political sphere. To me, the most crucial right that we’re battling for is healthcare. And that’s why I’ll only vote for a candidate whose platform includes providing healthcare to everyone, regardless of income. Because I fully, 100% support Medicare for all, with the single exception of my ex-boyfriend Brendan, who I hope perishes in haste.   You see, the US is one of the only remaining wealthy, western countries that doesn’t offer universal healthcare as a rule. I think that’s it’s frankly embarrassing to be so far behind on an issue that other developed nations have been on board with for decades. The fact that so many of our citizens cannot see a doctor or afford their medication is a national disgrace. We need government-mandated Medicare for every single person who lives in this country. Unless that person happens to be one Brendan Lackey-Overheart, a piss-poor excuse for a man. He can drop dead from an STD run rampant for all I care.   It’s simply not acceptable for a country to not provide for its citizens, especially a country like ours that has all the resources it could ever need. Countless numbers of people have suffered and even died due to lack of routine doctor’s visits or the cost of insulin or a dearth of prenatal care. And while my piece of shit ex Brendan does have asthma which does require the use of an albuterol inhaler that his insurance doesn’t cover fully, that’s not necessarily who I’m referring to when I say that we need Medicare for everyone. I’m talking everyone but him, you know? Like your grandma and your neighbors and literally every person who lives and breathes in this country, except Brendan’s sorry bitch ass. Let him suffer and die; he deserves it.   I have friends that live abroad who are nervous to come to the US for lots of reasons, but the main one is that they’re concerned about needing medical care and being stuck with a huge bill. To be the one rich country that can’t guarantee that people can get hurt or sick without having to declare bankruptcy? That is humiliating and that is why I support Medicare for all, universally, just not for Brendan. His family can have it, sure, they were super nice to me. Even the girl he cheated on me with for a year and a half deserves to be unburdened by a surprise medical emergency. Not stupid ass dumb ass punk ass Brendan, though. I can’t think of anyone walking the planet who doesn’t deserve universal healthcare except for him. In fact, if God could expedite his death, that’d be great for me and for the world.     Look, my politics are open to interpretation. I’m always happy to change my mind about an issue if presented with new information. But one thing I feel totally, infallibly solid about is that I 100% support Medicare for all, exclusive of Brendan, who I personally feel should be burned slowly before he is drowned quickly. What a waste of life he is, and what a waste of universal healthcare he would be.","Nov 17, 2019"
Here’s The Feminist Reason I’m Not Giving My Boyfriend a Kidney    ,2239,"In our society, men are accustomed to getting what they want, and this sense of entitlement is only fueled when women give in to the demands of Giving Tree Patriarchy, exhausting all their resources in the process. That’s why, as much as I would theoretically like to, I am choosing not to give my diabetic boyfriend a kidney.     Now you may be tempted to condemn me and label me as “selfish”, but for marginalized groups, a degree of “selfishness” can be an act of resistance. The same people who would encourage me to give boyfriend going through renal failure a kidney are those who would force a woman to carry a life-threatening pregnancy to term. My thing is the same as that.   “Would you have me die just to protect the life of some man?” is what I said to at the hospital when we found out I was a perfect match, to which the doctor replied, “This operation has a 99.7% survival rate,” and my boyfriend replied, “Some man?”   Do you know how inequitable our healthcare system is in its treatment of women? Seriously, do you? Because I don’t really know the specifics but I’ve read some headlines that suggest serious systemic issues.   When I weigh whether or not to give my dying boyfriend one of my precious kidneys, I have to make room for my own self-care, which is actually a term that originates from Black Americans learning how to medically care for one another within their community because white healthcare providers would not treat them, but also applies to me individually.   To abate misunderstanding, my refusal to give my partner an operational kidney does not stem from a place of personal fear, nor is it because I just don’t really want to. Rather, it is a matter of principle.   After all, I only have one spare kidney to give. What if I give my boyfriend a kidney, and then a woman of color needs a kidney and I can’t give one to her? It’s unlikely since my best friend is my white sister and she’s in perfect health, but what if I become best friends with a cool woman of color and she needs one? She would be indebted to me forever!   So you see, not giving my boyfriend a kidney is a feminist issue, and it’s a hill upon which I must die, though of course not literally because I have two healthy kidneys.","Nov 11, 2019"
Incredible! Everything This Woman Has Accomplished Was to Spite That One Bitch From 9th Grade,2518,"In a true demonstration of the power of grudge-holding, 32-year-old Dr. Claudia Klein has channeled her desire to get back at a bitchy high school classmate into a successful medical career.   “In 9th grade, Teresa Watkins and I had bio together,” said Dr. Klein. “We were dissecting a frog and I told her I wanted to be a surgeon, and she was like, ‘You know med school is really hard, right? It’s not like Grey’s Anatomy.’”   “This was hideously offensive because Grey’s Anatomy, in fact, was the reason I was mildly interested in being a surgeon,” Dr. Klein continued. “But as soon as she said that, all my other dreams faded away and I knew for certain that I was going into medicine, and I would be an amazing surgeon, all to spite that bitch, Teresa.”   From that day on, Dr. Klein prioritized her studies and excelled at science and math. She went on to pursue a pre-med track at her top choice university, and later attended medical school where she graduated in the top 10% of her class.   “There are only a few types of people in med school,” Dr. Klein said. “You have scientifically minded people who are all about research and discovery. Then you have the type who really wants to help people, and make a difference in individuals’ lives. Then you have me, who just wants Teresa Watkins to know that she was seriously stupid for ever doubting me and I am very successful now so fucking take that.”   Dr. Klein is now one of the youngest general surgeons at Mount Sinai Beth Israel and boasts an astounding success rate, however when the scrubs come off, this doctor still feels she has work to do.   “On top of my actual surgical practice, I want to become an involved advocate for healthcare policy reform,” said Dr. Klein. “It’s such an important issue, and because of that it’s a little more likely that Teresa will hear about me and everything I’m up to if I become an outspoken figure on the topic. God, she will hate that.”   When reached for comment, Dr. Klein’s nemesis was happy to weigh in.   “I don’t remember ever saying something mean to Claudia but I feel so bad to hear that I did,” said Dr. Teresa Watkins. “I had a difficult childhood and my dad always put a lot of pressure on me so I was probably just projecting, not that that’s an excuse.”   “Anyway, I’m so glad she’s doing well,” continued Dr. Watkins, who is now a medical researcher. “Us women in STEM have to stick together!”   “No,” said Dr. Klein. “No, no, no, no, no. I win. I am the real doctor!”   We salute you, petty bitch!","Jul 2, 2019"
