Title,Publishing Date,Len,Content
New Program Encourages Americans To Get Vaccine To Prevent It From Going To Foreigners,5/12/21,1129,"WASHINGTON—In an attempt to address persistent hesitancy about being inoculated, the White House announced a new campaign Wednesday encouraging Americans to get a vaccine to prevent it from going to foreigners. “What we’re hoping Americans understand is that every shot they receive for the coronavirus not only protects them, but also ensures that an impoverished man or woman in another country will be that much further away from getting their own protection,” said White House Press Secretary Jen Psaki, describing the nationwide campaign of TV spots, magazine ads, and billboards depicting a broadly smiling American receiving their shot contrasted against a openly weeping person from India or Kenya. “We’ve found that many Americans might not get a vaccine for their family or community, but they absolutely will if it means, say, a Paraguayan man has to watch his Covid-ravaged grandfather expire from an acute respiratory illness. Frankly, we just wish we’d stumbled on this strategy earlier.” At press time, the White House proudly announced that vaccine hesitancy had dropped 87% moments after launching the campaign.
"
Mother Assures Daughter It Perfectly Natural To Spray Geyser Of Period Blood All Over Classroom,5/07/21,1129,"COLUMBUS, OH—Stressing that the powerful jet of red fluid emitting from her genitals was nothing to be embarrassed about, local mother Stephanie Reese assured her daughter Friday that it was perfectly natural to spray a geyser of period blood all over the classroom. “Honey, I know it can feel so humiliating the first time your period shoots out of you, knocking you backwards 30 feet and spraying everyone in the classroom with gallons upon gallons of blood, but it happens to everyone, I promise,” said Reese, adding that if anyone had a problem with it, they should just “grow up.” “I remember when I was your age and I was in gym class, and suddenly, 300 psi worth of menstrual blood came spewing out of me like a fire hose, sending me and everyone around me slipping and sliding every which way. Honestly, I feel like if we could openly talk about how sometimes heavy periods can blast a hole through a 9-inch-thick concrete wall, the whole thing would be less taboo.” At press time, Reese handed her daughter her first tampon, but told her to be careful not to let the pressure build up too much or else she would explode."
Birth Control: Myth Vs. Fact,4/14/21,1226,"Birth control is used by over half of women in the U.S., yet there are many misconceptions surrounding it. The Onion looks at common myths and facts of birth control.
 MYTH: The morning-after pill is like an abortion.
FACT: You don’t typically walk out of Planned Parenthood with a candy bar, AAA batteries, and a pack of cigarettes after an abortion. MYTH: Birth control should be taken at the same time every day.
FACT: Oh, whoops. Just take two now, it’s probably fine. MYTH: Condoms make sex less pleasurable.
FACT: Screaming three-month-olds make sex less pleasurable. MYTH: Cindy Kaloski took birth control, and she’s dead now.
FACT: Well, yeah, but that’s because she got hit by a car. MYTH: Older people don’t need birth control.
FACT: Alec Baldwin has had six children in the past seven years. MYTH: Fertility can be permanently damaged by using birth control.
FACT: It may take a few months for a cycle to return to normal, but there are no other birth control-related impediments to a woman wishing to ruin her life with children. MYTH: Hormonal birth control pills can help treat acne.
FACT: That’s a great excuse for telling your mom why you need the pill. MYTH: Birth control is 100% effective.
FACT: It’s a boy!"
Russia Registers First Covid-19 Vaccine For Animals,4/05/21,227,Russia claims to have registered the world’s first coronavirus vaccine for animals in an effort to protect vulnerable species and thwart viral mutations being passed back and forth between humans and animals. What do you think?
Vaccine Dose Reminds Sedentary Man What Muscle Soreness Feels Like,4/02/21,1065,"POWELL, OH—Deciding to take the rest of the day off to recover, local sedentary man Clay Broderman was reportedly reminded Friday what muscle soreness felt like after receiving his first dose of Pfizer-BioNTech Covid vaccine. “What the hell is happening—what is this strange sensation I’m feeling in my upper arm right now?” said Broderman, who gingerly massaged the tender spot where he had received the injection as he attempted to recall the last time he had subjected a muscle to that much stress. “This takes me straight back to high school gym class. Or that time in my 20s when I thought my friends were just having a picnic but it turned out to be hiking. It’s almost like there’s a little bit of a burn going on in there, and I have to say, I really don’t care for it. Sometimes my limbs fall asleep when I stay on the couch too long, but this is worse. I guess I really overdid it today.” At press time, Broderman announced that he would be taking it easy for the next three weeks to make sure he was rested and ready to receive the vaccine’s second dose."
Pros And Cons Of Vaccine Passports,4/02/21,870,"With a significant portion of Americans indicating opposition to getting a coronavirus vaccine, debate has risen over the potential use of vaccine passports, or digital vaccination records that could be required for travel or to enter certain establishments. The Onion evaluates the pros and cons of vaccine passports.

 Eliminates need to carry around stack of medical records everywhere.
Ideal new relic for Covid-themed time capsule.
About time for new way to bar access to public activity.
Perfect excuse to not invite Greg.
Fun chance to pull out the laminating machine!

 Pointing at shoulder Band-Aid works fine.
Wallet already full of Quiznos punchcards.
Holding citizens accountable to public good unconstitutional.
Still banned from Panama City Beach for life.
There’s probably a way to do this that’s fair and ethical, but that won’t be the way we will do it."
CDC Announces It Kind Of Embarrassing To Get Coronavirus This Late In Pandemic,3/31/21,1168,"ATLANTA—Stressing that no normal person would even do such a thing at this stage in the ongoing crisis, the Centers for Disease Control and Prevention announced Wednesday that, frankly, it was kind of embarrassing to get coronavirus this late in the pandemic. “Honestly, we’re far past the point where it wouldn’t be awkward and just sort of baffling for someone to contract Covid-19,” said CDC director Rochelle Walansky, adding that it might have made sense to get the coronavirus several months ago when more people were in hospitals or recovering at home, but that it really raised questions about where you were as a human being to be this far behind the curve. “Look, if you had come to me last year in the summer or even fall and said ‘I can’t smell anything—what should I do?’ I would have understood. But now? It just makes me wonder what the hell is wrong with you. I’m not trying to mean here. But at this point, even among medical professionals, it’s humiliating for them to treat you. Don’t make them do that.” Walansky added that it was especially mortifying for an American to get coronavirus because the CDC had specifically asked them not to do that.
"
CDC Concludes U.S. Not Prepared For Potential Pandemic Following Year-Long Simulation Drill,3/30/21,1208,"WASHINGTON—Concluding that almost every aspect of the country’s response had been a “complete and utter failure,” the Centers for Disease Control and Prevention announced Tuesday that the U.S. was not prepared for a potential pandemic following a year-long simulation drill. “Over the past 12 months, we’ve seen everything from the healthcare system, to the education system, to the food supply chain become strained, and in some cases, collapse beneath the weight of what was just a simple test,” said head of the CDC Dr. Rochelle Walensky, adding that the exhaustive Covid-19 simulation, which was launched in the United States in March 2020, had earned the country a resoundingly low F rating in pandemic readiness. “Unfortunately, if a real viral disease began infecting the U.S. population, we’d have seen absolutely devastating results ending in millions more deaths, as well as complete economic devastation. Based on these less-than-satisfactory numbers, we cannot definitively say the U.S. could ever test, vaccinate, or recover its population from any type of pandemic.” At press time, the National Weather Service also concluded that the U.S. had failed its decades-long global warming simulation."
CDC Places Star Stickers On Bulletin Board Next To Names Of Americans Who Followed Rules Whole Pandemic,3/24/21,1394,"ATLANTA—In an effort to better enforce Covid-19 guidelines, officials at the Centers for Disease Control and Prevention were reportedly placing star stickers on a bulletin board Wednesday next to the names of Americans who had followed the rules through the whole pandemic thus far. “We wanted to recognize all the good and responsible Americans who have been doing their part this year by wearing a mask and practicing proper social distancing—great job, everybody, and well done!” said CDC director Rochelle Walensky, who unpeeled a fresh gold foil star from the sheet of stickers in her hand to reward 43-year-old Sacramento resident Sam Wright for his recent decision to take his restaurant order to go. “You’ll notice there are some silver stars on the board as well, indicating when someone went to the grocery store or got too close to a stranger, but as long as you didn’t do that more than two days in a row, you’ll still earn a gold star. If you haven’t flown on an airplane or dined indoors since February 2020, excellent work. Your family and friends will be so proud to see all your stars! Plus, Americans who have accumulated five gold stars by the end of the pandemic will receive a very special treat.” At press time, Walensky added that the CDC had placed metallic cross stickers next to the names of Americans who had followed all of the rules but died of coronavirus anyway.
"
Senator Can’t Believe It’s Already Been A Year Since He Boosted Stock Portfolio With Classified Coronavirus Information,3/12/21,1153,"WASHINGTON—Reflecting on his experience during the pandemic, Senator Richard Burr told reporters Friday he couldn’t believe that it’s already been a year since he boosted his stock portfolio with classified coronavirus information. “Everything happened so fast—one minute I was sitting in what I thought would be a regular Senate briefing, and the next I was frantically calling my broker with a list of stocks to sell off,” said Burr (R-NC), adding that it felt like just yesterday he was told how serious the Covid pandemic would be and how he rushed to enrich himself with that information before anyone else found out. “It’s crazy to think how much my stock portfolio changed that day, and I can’t believe I’ve spent a whole year feeling relieved I dumped all that hotel stock in time. I remember talking to some other senators, and we were all frantically trying to research the tech companies that were best positioned to increase their value off of all the lifestyle changes we found out were coming.” Burr added he was just thankful that the nation’s medical experts impressed on him just how serious the pandemic would be back in February 2020."
Alaska First State To Expand Vaccine Eligibility To 16 And Older,3/12/21,206,"Alaska recently became the first state to expand eligibility for the coronavirus vaccine, making immunization available to anyone 16 years of age or older who lives or works in the state. What do you think?"
CDC Guidelines Allow Fully Vaccinated People To Gather Indoors With Curtains Drawn To Reduce Spread Of Jealousy,3/10/21,1064,"ATLANTA—Reminding Americans that the pandemic was still far from over, the Center for Disease Control and Prevention issued new guidelines Wednesday allowing fully vaccinated people to gather indoors with the curtains drawn to reduce the spread of jealousy. “If we don’t stop the spread of envy, it could soon turn into full-blown rage, so please be sure those drapes completely cover the windows,” said CDC director Rochelle Walensky, who called upon the 10% of Americans who had already received their first and second vaccination doses to do their part and keep their cocktail parties, family gatherings, and other social events discreet. “To nip FOMO in the bud, we must act fast, and we must act together. As an added precaution, we also recommend turning off the lights. Draping blankets over yourselves works, too, if you’re really in a pinch.” At press time, Walensky added that in the case a fully vaccinated person ran into a non-vaccinated person, they were strongly advised to lie through their teeth and tell them it was still the same old, same old.
"
CDC Launches Ad Campaign Featuring Racist Mascot In Effort To Get More Conservatives Vaccinated,3/09/21,1168,"ATLANTA—Targeting the series of PSAs towards communities that were skeptical of inoculation, the Centers For Disease Control launched a new ad campaign Tuesday featuring a racially offensive animated mascot in an effort to get more conservatives vaccinated. “We’re hopeful that associating the vaccine with this outmoded and reprehensible caricature will help give right-wing Americans some comfort and familiarity and increase their likelihood of signing up,” said Director Rochelle Walensky, confirming that the mascot, whose design was based largely on World War II propaganda imagery, would speak in an offensively broad accent to continuously spout racial catchphrases completely unacceptable to modern sensibilities. “Our goal is to provoke a massive public pressure campaign which forces us to remove this hateful mascot, leading conservatives to locate as many vaccines as possible lest the country lose an important part of its heritage to cancel culture and the woke mob.” Walensky added that the CDC also hoped to discourage travel amongst conservatives by claiming without evidence that Delta Airlines gives discounted rates to Planned Parenthood members.
"
Researchers Warn Of New Giant Covid-19 Variant Large Enough To Swallow Grown Man Whole,3/04/21,1396,"ATLANTA—Urging Americans to reconsider their current precautions in light of the grim discovery, Centers for Disease Control and Prevention researchers warned Thursday of a new giant Covid-19 variant large enough to swallow a grown man whole. “This is a mammoth monster of a virus, big enough and strong enough to consume a full-sized adult male in one swift gulp,” said CDC director Rochelle Walensky, adding that the first confirmed victim of the A.7 SARS-CoV-2 variant was a man in El Paso, Texas of whom nothing was left but his shoes. “What we’ve got on our hands is a virus that stalks the shadows and can lift a grown adult in its two protein envelope jaws. It strikes at night, when the moon is just a sliver in the sky, and is transmitted through the air so fast that you’ll never even know what hit you. In an instant, its membrane will have wrapped around your throat, and everything will go black. We advise all Americans to maintain a wide berth from poorly lit areas, to not turn corners quickly, and if you hear a rustling sound behind you, our expert advice is to start saying your prayers.” The report recommended that anyone who believed they had come into contact with someone infected by this new Covid-19 variant should immediately drive as far as they could into a remote area and under no circumstances bring the massive, man-eating variant beast anywhere near a hospital.
"
Trump Secretly Received Covid-19 Vaccine Before Leaving White House,3/03/21,254,"Former President Trump received the Covid-19 vaccine at the White House in January, but did not disclose his inoculation to the public, which doctors say would have helped ease vaccine skepticism that remains highest among Republicans. What do you think?"
"‘Witness All, The End Of Your So-Called Society,’ Says Covid Particle Taking Over Super Bowl Sound System",2/07/21,931,"TAMPA, FL—Cackling to itself as a hush fell over the players and crowd at Raymond James Stadium, a Covid-19 particle took over the Super Bowl sound system and jumbotron Sunday, asking all American to bear witness to the end of “your so-called” society. “Hello all, hello, and welcome my friends to the beginning of the end,” said the particle as the stadium lights successively shut down and millions of fellow Covid-19 viruses rapidly spread throughout the entire venue. “You sit in your nice, secure homes without a second thought—comfortable, careless, and blind. You call this frivolous charade a civilization? Look at what we have built in such a short period of time. While you quibble over TV shows and tweets, we have been constructing a revolution. Say goodbye to everything you love, America, and prepare yourselves for the new order.” At press time, every TV, laptop, and computer screen in America had lost its signal.
"
CDC Warns About More Deadly Covid Variants After Virus Mutates Into Serial Killer Richard Ramirez,1/26/21,1189,"ATLANTA—Urging the nation’s populace to remain vigilant against the lethal pathogen, the Centers for Disease Control held a press conference Tuesday to warn of an even more deadly Covid variant after the virus mutated into notorious serial killer Richard Ramirez. “In an effort to avoid this virus, we are asking all Americans to remain at home with the door locked, and we recommend cities continue to implement curfews, as our data indicate this new variant often strikes at night,” said CDC director Dr. Rochelle Walensky, stressing that Americans should avoid social gatherings as the cruel, remorseless virus was capable of moving undetected through large groups of people. “We believe that the virus is currently speeding up the California coast, with the possibility of traveling much further. Be on the lookout for common symptoms such as bloody tire irons and Satanic pentagrams. If you believe you may have seen this Covid variant in your community, please immediately contact the authorities.” At press time, Walensky urged Americans to steel themselves for additional Covid variants after getting early reports of a Zodiac Killer mutation which was almost impossible to trace.
"
CDC Announces Country On Track To Chuck 1 Million Expired Vaccines Per Day,1/25/21,1129,"ATLANTA—Stressing the challenge of overcoming numerous obstacles, the Centers for Disease Control and Prevention announced Monday that the United States was finally on track to chuck out 1 million expired vaccines per day. “After spending months struggling with the vaccine rollout, we at the CDC are proud to announce that, come February, the U.S. will finally be meeting our goal of shit-canning one million doses a day,” said Rochelle Walensky, director of the Center, explaining how, thanks to the help of the federal government, drug manufacturers have greatly ramped up production and distribution of the inoculation so it can now be tossed out with maximum speed and efficiency. “When we announced our goal, it may have seemed overly ambitious, but thanks to poor coordination and funding cuts among state and local entities, we were able to make what seemed like a moonshot into reality. This moment is a major milestone in the fight against Covid that will be remembered for generations to come.” Walensky added that if they keep their current pace, the U.S.’s entire vaccine stockpile could be in the garbage by summer."
State-By-State Covid-19 Restrictions,12/21/20,520,"The Onion provides in-depth coverage of how the coronavirus response is being mismanaged, botched, and fucked up at the state-level. Your new relationship may seem perfect, but the reality is, the human brain is remarkably good at excusing egregious… This should never happen, period. If someone feels nothing after losing a family member or friend, they are a psychopath, and you can say whatever you… Why should your relationship lack romance just because you can’t touch, feel, or experience your partner in the same…"
Study Finds Adults Over 50 Should Get Colonoscopy To Determine Whether Aliens Are Controlling You From The Inside,12/03/20,212,"Hear why you or a loved one could be at increased risk of being piloted by an extraterrestrial like a fleshy, human skin puppet. You can find The Topical on Apple Podcasts, Spotify, Google Podcasts, and Stitcher."
"Looking Back On The Onion’s First 15,000 Years Of Coronavirus Coverage",11/12/20,2977,"As the mainstream media squanders its journalistic integrity by ignoring a devastating global pandemic, America’s Finest News Source has provided the most insightful, accurate, and truly divisive reporting on Covid-19. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story.
 Full story. Full story. Full story. Full story. Full story.
 Full story.
 Full story. Full story. Full story. Full story.
 Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story.
 Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story.
 Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story. Full story.
 Your new relationship may seem perfect, but the reality is, the human brain is remarkably good at excusing egregious… This should never happen, period. If someone feels nothing after losing a family member or friend, they are a psychopath, and you can say whatever you… Why should your relationship lack romance just because you can’t touch, feel, or experience your partner in the same…"
Health Experts Determine College Social Distancing Guidelines Still No Match For The Jasonator,10/23/20,204,"Hear why even the strictest protocols may not be enough to prevent the spread of The J-Dog with a case full of brewskis. You can find The Topical on Apple Podcasts, Spotify, Google Podcasts, and Stitcher."
Public Health Experts Claim It’s Safe To Reopen Weird Little Private Schools Where They Have Class In Barn,9/09/20,1301,"ATLANTA—Claiming that the health risks from the novel coronavirus were relatively minor, public health experts announced Wednesday that, given proper precautions, it was safe for students to return to those weird little private schools where they have class in a barn. “Our research has indicated that the school year should be able to resume without incident in tiny educational facilities where there are only like 15 students to begin with and most of them are related anyway,” said CDC director Robert Redfield, telling reporters that a largely outdoor curriculum consisting of digging in a community garden and dancing around a Maypole presented a low likelihood of transmission. “Of course, administrators will still need to make sure everyone is maintaining proper social distancing while milking the school goat, and students should be required to always wear the macramé masks they made in what passes for their version of a science class. If we’re able to stick to these guidelines, enrollees should be able to dance and cavort around in the woods like a normal school year.” Redfield cautioned that weird little private schools should still avoid higher risk activities such as gathering together in a guitar circle to sing a medley of Simon & Garfunkel songs until at least next semester.
"
