Title,Source
Expensive Healthcare Doesn’t Help Americans Live Longer - The Atlantic,https://www.theatlantic.com/health/archive/2013/12/expensive-healthcare-doesn-t-help-americans-live-longer/282343/
The Civil Rights Movement Led the Fight for Universal Health Care  - The Atlantic,https://www.theatlantic.com/politics/archive/2017/06/the-fight-for-health-care-is-really-all-about-civil-rights/531855/
"Obesity, Not Old People, Is Making Healthcare Expensive - The Atlantic",https://www.theatlantic.com/health/archive/2013/11/5-failures-of-us-healthcare/281444/
Segregated Health Care - The Atlantic,https://www.theatlantic.com/politics/archive/2016/05/americas-health-segregation-problem/483219/
The American Health-Care System Increases Income Inequality - The Atlantic,https://www.theatlantic.com/politics/archive/2018/01/health-care-income-inequality-premiums-deductibles-costs/550997/
Universal Healthcare Doesn't Mean Waiting Longer to See a Doctor - The Atlantic,https://www.theatlantic.com/health/archive/2013/11/universal-healthcare-doesnt-mean-waiting-longer-to-see-a-doctor/281614/
Everything You Need to Know About the Healthcare Slowdown - The Atlantic,https://www.theatlantic.com/business/archive/2014/01/everything-you-need-to-know-about-the-healthcare-slowdown/282964/
What 'Health Care Costs' Really Means - The Atlantic,https://www.theatlantic.com/health/archive/2012/12/what-health-care-costs-really-means/266522/
Healthcare.gov and the Inevitably Digital Future of American Governance - The Atlantic,https://www.theatlantic.com/technology/archive/2013/11/healthcaregov-and-the-inevitably-digital-future-of-american-governance/281097/
The Problem With Satisfied Patients - The Atlantic,https://www.theatlantic.com/health/archive/2015/04/the-problem-with-satisfied-patients/390684/
Design Can Improve Healthcare; Can It Also Lead to New Cures? - The Atlantic,https://www.theatlantic.com/entertainment/archive/2011/10/design-can-improve-healthcare-can-it-also-lead-to-new-cures/246437/
The Singular Waste of America's Healthcare System in 1 Remarkable Chart - The Atlantic,https://www.theatlantic.com/business/archive/2013/11/the-singular-waste-of-americas-healthcare-system-in-1-remarkable-chart/281782/
The U.S. Leads the World in Health-Care Spending - The Atlantic,https://www.theatlantic.com/magazine/archive/2019/07/american-health-care-spending/590623/
"Amazon, Berkshire Hathaway, and JPMorgan Are Going to Fix Health Care—Somehow - The Atlantic",https://www.theatlantic.com/business/archive/2018/01/amazon-berkshire-jpmorgan-health-care/551858/
Malaria and HIV Spike as Greece Cuts Healthcare Spending - The Atlantic,https://www.theatlantic.com/international/archive/2013/05/malaria-and-hiv-spike-as-greece-cuts-healthcare-spending/275836/
Obamacare Website Has Cost $840 Million - The Atlantic,https://www.theatlantic.com/politics/archive/2014/07/obamacare-website-has-cost-840-million/440478/
France and U.S. Health Care: Twins Separated at Birth? - The Atlantic,https://www.theatlantic.com/business/archive/2012/03/france-and-us-health-care-twins-separated-at-birth/254033/
How the U.S. Healthcare System Would Handle Ebola - The Atlantic,https://www.theatlantic.com/health/archive/2014/08/what-would-happen-if-someone-got-ebola-in-america/375928/
How Arbitration Affects Health Care - The Atlantic,https://www.theatlantic.com/health/archive/2015/11/arbitration-medical/413641/
"Practical Philosophy, Again - The Atlantic",https://www.theatlantic.com/business/archive/2009/09/practical-philosophy-again/24378/
"The U.S. Promotes Universal Health Care, but Only in Other Countries - The Atlantic",https://www.theatlantic.com/international/archive/2012/06/the-us-promotes-universal-health-care-but-only-in-other-countries/259160/
Doctors Feel Compassion Fatigue About Vaccine Refusers - The Atlantic,https://www.theatlantic.com/ideas/archive/2021/08/health-care-workers-compassion-fatigue-vaccine-refusers/619716/
Obama Goes on Offense on Healthcare - The Atlantic,https://www.theatlantic.com/politics/archive/2013/12/obama-goes-on-offense-on-healthcare/281986/
"How We Spend $3,400,000,000,000 - The Atlantic",https://www.theatlantic.com/health/archive/2017/06/how-we-spend-3400000000000/530355/
Why I Oppose National Health Care - The Atlantic,https://www.theatlantic.com/business/archive/2009/07/why-i-oppose-national-health-care/22300/
Will Healthcare Reform Help The Economy? - The Atlantic,https://www.theatlantic.com/business/archive/2009/08/will-healthcare-reform-help-the-economy/22867/
"New Health Rankings: Of 17 Nations, U.S. Is Dead Last - The Atlantic",https://www.theatlantic.com/health/archive/2013/01/new-health-rankings-of-17-nations-us-is-dead-last/267045/
Our Unsustainable Culture of Medical Specialization - The Atlantic,https://www.theatlantic.com/health/archive/2012/07/our-unsustainable-culture-of-medical-specialization/260504/
What If Healthcare Spending Doesn't Destroy America? - The Atlantic,https://www.theatlantic.com/business/archive/2014/07/health-care-spending-the-future-predictions/374608/
5% of Americans Made Up 50% of U.S. Health Care Spending - The Atlantic,https://www.theatlantic.com/business/archive/2012/01/5-of-americans-made-up-50-of-us-health-care-spending/251402/
Should the U.S. Health-Care System Be More Like the U.K.'s? - The Atlantic,https://www.theatlantic.com/health/archive/2019/06/how-can-us-health-care-system-be-more-like-uk/592321/
The Decade-Long Slowdown in U.S. Healthcare Spending (in a Graph) - The Atlantic,https://www.theatlantic.com/business/archive/2013/02/the-decade-long-slowdown-in-us-healthcare-spending-in-a-graph/273081/
Is Health Care a Human Right? - The Atlantic,https://www.theatlantic.com/health/archive/2019/06/health-care-human-right/592357/
The Best Democratic Health Plan - The Atlantic,https://www.theatlantic.com/ideas/archive/2019/08/best-democratic-health-plan/595657/
How Cubans Live as Long as Americans at a Tenth of the Cost - The Atlantic,https://www.theatlantic.com/health/archive/2016/11/cuba-health/508859/
The Infuriating Lottery of Healthcare Prices - The Atlantic,https://www.theatlantic.com/health/archive/2015/02/The-Lottery-of-Healthcare-Prices/385092/
Who Is Taking Care of Hospital Workers’ Children? - The Atlantic,https://www.theatlantic.com/family/archive/2020/03/who-is-taking-care-of-hospital-workers-children/608848/
Why Many Latinos Dread Going to the Doctor - The Atlantic,https://www.theatlantic.com/health/archive/2014/05/why-many-latinos-dread-going-to-the-doctor/361547/
The Inherent Inequality of Health Care for Women - The Atlantic,https://www.theatlantic.com/national/archive/2012/03/inherent-inequality-health-care-women/330415/
"Even With Insurance, Americans Can't Afford Their Medical Bills - The Atlantic",https://www.theatlantic.com/business/archive/2017/06/medical-bills/530679/
A Triumph of Misinformation - The Atlantic,https://www.theatlantic.com/magazine/archive/1995/01/a-triumph-of-misinformation/306231/
Why Medicare Costs Are Growing Faster Than Other Healthcare - The Atlantic,https://www.theatlantic.com/business/archive/2009/10/why-medicare-costs-are-growing-faster-than-other-healthcare/28202/
Does Adverse Selection Really Apply To Healthcare? - The Atlantic,https://www.theatlantic.com/business/archive/2009/07/does-adverse-selection-really-apply-to-healthcare/22211/
How America Reduced Health Care Spending by $2 Trillion - The Atlantic,https://www.theatlantic.com/business/archive/2015/04/how-america-reduced-health-care-spending-by-2-trillion/390771/
Why American Health Care Is So Much Worse Than Europe's - The Atlantic,https://www.theatlantic.com/health/archive/2017/07/us-worst-health-care-commonwealth-2017-report/533634/
Can Vermont's Single-Payer System Fix What Ails American Healthcare? - The Atlantic,https://www.theatlantic.com/politics/archive/2013/12/can-vermonts-single-payer-system-fix-what-ails-american-healthcare/282626/
What Are the Best Plans on Healthcare.gov? - The Atlantic,https://www.theatlantic.com/technology/archive/2015/11/the-algorithm-that-will-buy-you-health-insurance-honeyinsured/414765/
Healthcare:  Inevitable or Impossible? - The Atlantic,https://www.theatlantic.com/business/archive/2010/03/healthcare-inevitable-or-impossible/37205/
The Largest Healthcare Fraud Takedown in U.S. History - The Atlantic,https://www.theatlantic.com/news/archive/2016/06/healthcare-fraud-takedown/488306/
A Truly Astonishing Graph of the Growth of Health-Care Jobs in America - The Atlantic,https://www.theatlantic.com/business/archive/2013/07/a-truly-astonishing-graph-of-the-growth-of-health-care-jobs-in-america/277454/
The 5 Mega-Trends That Are Changing the Face of Health Care - The Atlantic,https://www.theatlantic.com/health/archive/2012/05/the-5-mega-trends-that-are-changing-the-face-of-health-care/256854/
A Shining Example of Healthcare That Works: Home Visits for Asthmatic Kids - The Atlantic,https://www.theatlantic.com/health/archive/2012/04/a-shining-example-of-healthcare-that-works-home-visits-for-asthmatic-kids/256215/
"Fixing Healthcare, Part Two: The Path to a New Healthcare System - The Atlantic",https://www.theatlantic.com/national/archive/2009/08/fixing-healthcare-part-two-the-path-to-a-new-healthcare-system/22853/
Experts Say Healthcare.gov Could Be Hacked - The Atlantic,https://www.theatlantic.com/technology/archive/2014/01/healthcaregov-cyber-security/357068/
How Health Care Can Stop Amplifying Racism - The Atlantic,https://www.theatlantic.com/ideas/archive/2020/09/how-health-care-can-stop-amplifying-racism/616454/
The Immigrant Healthcare Imperative - The Atlantic,https://www.theatlantic.com/health/archive/2013/07/the-immigrant-healthcare-imperative/277849/
Tom Price's Healthcare Agenda - The Atlantic,https://www.theatlantic.com/politics/archive/2016/11/tom-price-secretary-hhs-policy/509159/
Can Trump Save the Republican Healthcare Bill? - The Atlantic,https://www.theatlantic.com/politics/archive/2017/03/can-republicans-save-their-healthcare-bill/518895/
"Healthcare Economics:  Standing Athwart History, Shouting ""Stop!"" - The Atlantic",https://www.theatlantic.com/business/archive/2009/06/healthcare-economics-standing-athwart-history-shouting-stop/19923/
Why Is American Health Care So Ridiculously Expensive? - The Atlantic,https://www.theatlantic.com/business/archive/2013/03/why-is-american-health-care-so-ridiculously-expensive/274425/
The healthcare social contract - The Atlantic,https://www.theatlantic.com/business/archive/2009/12/the-healthcare-social-contract/32479/
